,average_speed_mph,average_heartrate,moving_time_h,total_elevation_gain
165,3.0210000000000004,118.6,0.21,0.0
166,0.9309999999999999,102.0,0.38,158.0
167,3.572,155.4,0.65,14.5
168,3.2769999999999997,142.3,0.49,14.4
169,3.29,137.0,0.24,0.0
170,3.48,142.3,0.82,16.6
171,3.031,131.3,0.81,14.7
172,3.447,140.3,0.76,16.5
173,2.162,157.0,1.36,395.8
174,2.128,122.6,0.3,59.2
175,2.005,156.3,0.64,82.8
176,1.585,121.1,0.13,64.9
177,2.8930000000000002,130.4,0.19,36.2
178,1.9909999999999999,141.1,1.76,349.1
179,3.2710000000000004,138.7,0.73,10.7
180,3.196,146.1,0.83,14.6
181,3.2539999999999996,140.8,0.29,0.0
182,3.258,146.4,0.68,14.6
183,3.425,147.6,0.56,14.1
184,4.308,185.9,0.42,10.1
185,2.9419999999999997,168.5,0.21,0.0
186,3.2039999999999997,147.8,0.7,26.1
187,3.5639999999999996,157.3,0.77,26.1
188,2.3680000000000003,121.9,0.25,47.8
189,3.484,147.9,1.29,70.7
